date,Open,High,Low,Close,거래량,거래대금,상장시가총액,Change,press_c,0_percent_c,1_percent_c,2_percent_c,뉴스개수_c,press_f,0_percent_f,1_percent_f,2_percent_f,뉴스개수_f,부정_c,긍정_c,중립_c,부정_f,긍정_f,중립_f
20210817,1039.66,1039.66,1009.21,1011.05,1176479166,12262400000000.0,424665000000000.0,-2.856511463,일반언론,0.2904761904761905,0.12857142857142856,0.580952380952381,630.0,네이버금융,0.6842105263157895,0.2631578947368421,0.05263157894736842,19,183.0,81.0,366.0,13.0,5.0,1.0
20210818,1006.8,1022.09,999.26,1021.08,1095404874,11748700000000.0,428808000000000.0,0.99203798,일반언론,0.3068702290076336,0.1099236641221374,0.583206106870229,655.0,네이버금융,0.7058823529411765,0.23529411764705882,0.058823529411764705,17,201.0,72.0,382.0,12.0,4.0,1.0
20210819,1013.93,1022.77,991.13,991.15,1401855005,12148900000000.0,416693000000000.0,-2.931210091,일반언론,0.34416543574593794,0.0827178729689808,0.5731166912850812,677.0,네이버금융,0.8235294117647058,0.058823529411764705,0.11764705882352941,17,233.0,56.0,388.0,14.0,1.0,2.0
20210820,997.02,1000.67,964.02,967.9,1266099067,12190400000000.0,408592000000000.0,-2.345759976,일반언론,0.34534534534534533,0.07957957957957958,0.575075075075075,666.0,네이버금융,0.8888888888888888,0.1111111111111111,0.0,18,230.0,53.0,383.0,16.0,2.0,0.0
20210823,977.87,996.23,969.48,993.18,993511266,10296600000000.0,419218000000000.0,2.611840066,일반언론,0.36233269598470363,0.07265774378585087,0.5650095602294455,1046.0,네이버금융,0.2,0.45,0.35,20,379.0,76.0,591.0,4.0,9.0,7.0
20210824,1002.19,1015.09,1000.72,1013.18,1326076918,12377700000000.0,427039000000000.0,2.013733664,일반언론,0.2915451895043732,0.10932944606413994,0.5991253644314869,686.0,네이버금융,0.15789473684210525,0.8421052631578947,0.0,19,200.0,75.0,411.0,3.0,16.0,0.0
20210825,1017.96,1017.96,1006.98,1017.78,1225841208,10816500000000.0,429489000000000.0,0.454016068,일반언론,0.2869692532942899,0.11859443631039532,0.5944363103953147,683.0,네이버금융,0.375,0.4375,0.1875,16,196.0,81.0,406.0,6.0,7.0,3.0
20210826,1020.85,1026.26,1015.91,1020.44,1081654384,11180200000000.0,430320000000000.0,0.261353141,일반언론,0.2819767441860465,0.1119186046511628,0.6061046511627907,688.0,네이버금융,0.5882352941176471,0.29411764705882354,0.11764705882352941,17,194.0,77.0,417.0,10.0,5.0,2.0
20210827,1017.36,1027.26,1014.1,1023.51,1298908156,11406700000000.0,431572000000000.0,0.300850613,일반언론,0.2664756446991404,0.10888252148997135,0.6246418338108882,698.0,네이버금융,0.5555555555555556,0.2222222222222222,0.2222222222222222,18,186.0,76.0,436.0,10.0,4.0,4.0
20210830,1030.65,1035.77,1027.84,1031.84,1178120943,12200200000000.0,435388000000000.0,0.81386601,일반언론,0.3099467140319716,0.09680284191829484,0.5932504440497336,1126.0,네이버금융,0.22727272727272727,0.5454545454545454,0.22727272727272727,22,349.0,109.0,668.0,5.0,12.0,5.0
