date,Close,Open,High,Low,Change,Change value,press_c,0_percent_c,1_percent_c,2_percent_c,뉴스개수_c,press_f,0_percent_f,1_percent_f,2_percent_f,뉴스개수_f,부정_c,긍정_c,중립_c,부정_f,긍정_f,중립_f
20210816,1165.28,1162.37,1168.81,1161.46,0.0034,3.910000000000082,일반언론,0.38477580813347234,0.09593326381647549,0.5192909280500522,959.0,네이버금융,0.375,0.25,0.375,8.0,369.0,92.0,498.0,3.0,2.0,3.0
20210817,1177.3,1165.45,1179.8,1164.6,0.0103,12.019999999999982,일반언론,0.2904761904761905,0.12857142857142856,0.580952380952381,630.0,네이버금융,0.6842105263157895,0.2631578947368421,0.05263157894736842,19.0,183.0,81.0,366.0,13.0,5.0,1.0
20210818,1170.03,1177.44,1179.94,1166.89,-0.0062,-7.269999999999982,일반언론,0.3068702290076336,0.1099236641221374,0.583206106870229,655.0,네이버금융,0.7058823529411765,0.23529411764705882,0.058823529411764705,17.0,201.0,72.0,382.0,12.0,4.0,1.0
20210819,1176.28,1170.28,1178.4,1169.66,0.0053,6.25,일반언론,0.34416543574593794,0.0827178729689808,0.5731166912850812,677.0,네이버금융,0.8235294117647058,0.058823529411764705,0.11764705882352941,17.0,233.0,56.0,388.0,14.0,1.0,2.0
20210820,1175.15,1176.46,1184.85,1171.21,-0.001,-1.1299999999998818,일반언론,0.34534534534534533,0.07957957957957958,0.575075075075075,666.0,네이버금융,0.8888888888888888,0.1111111111111111,0.0,18.0,230.0,53.0,383.0,16.0,2.0,0.0
20210823,1169.36,1175.24,1177.56,1167.43,-0.0049,-5.790000000000191,일반언론,0.36233269598470363,0.07265774378585087,0.5650095602294455,1046.0,네이버금융,0.2,0.45,0.35,20.0,379.0,76.0,591.0,4.0,9.0,7.0
20210824,1163.65,1169.06,1171.57,1163.1,-0.0049,-5.709999999999809,일반언론,0.2915451895043732,0.10932944606413994,0.5991253644314869,686.0,네이버금융,0.15789473684210525,0.8421052631578947,0.0,19.0,200.0,75.0,411.0,3.0,16.0,0.0
20210825,1163.87,1164.02,1169.37,1162.92,0.0002,0.2199999999997999,일반언론,0.2869692532942899,0.11859443631039532,0.5944363103953147,683.0,네이버금융,0.375,0.4375,0.1875,16.0,196.0,81.0,406.0,6.0,7.0,3.0
20210826,1170.53,1164.05,1172.01,1162.97,0.0056999999999999,6.660000000000082,일반언론,0.2819767441860465,0.1119186046511628,0.6061046511627907,688.0,네이버금융,0.5882352941176471,0.29411764705882354,0.11764705882352941,17.0,194.0,77.0,417.0,10.0,5.0,2.0
20210827,1161.23,1170.71,1174.77,1160.89,-0.0079,-9.299999999999956,일반언론,0.2664756446991404,0.10888252148997135,0.6246418338108882,698.0,네이버금융,0.5555555555555556,0.2222222222222222,0.2222222222222222,18.0,186.0,76.0,436.0,10.0,4.0,4.0
