Date,Close,Open,High,Low,Change,Change value
2022-01-06,1204.95,1200.65,1207.11,1197.2,0.005600000000000001,6.75
2022-01-07,1197.63,1205.03,1205.78,1197.32,-0.0060999999999999995,-7.319999999999936
2022-01-10,1198.04,1198.2,1201.81,1195.95,0.0003,0.4099999999998545
2022-01-11,1192.31,1198.14,1198.6,1192.3,-0.0048,-5.730000000000018
2022-01-12,1185.87,1190.55,1193.2,1185.11,-0.0054,-6.440000000000055
2022-01-13,1186.11,1185.96,1189.94,1184.04,0.0002,0.2400000000000091
2022-01-14,1190.07,1186.77,1192.42,1185.67,0.0033,3.9600000000000364
2022-01-17,1189.99,1190.55,1194.13,1189.49,-0.0001,-0.07999999999992724
2022-01-18,1192.69,1190.98,1194.33,1185.93,0.0023,2.7000000000000455
2022-01-19,1188.13,1193.03,1193.94,1186.66,-0.0038,-4.559999999999945
2022-01-20,1192.42,1188.21,1193.88,1187.19,0.0036,4.289999999999964
2022-01-21,1192.51,1192.49,1195.05,1190.14,0.0001,0.08999999999991815
2022-01-24,1195.59,1193.3,1197.9,1192.49,0.0026,3.0799999999999272
2022-01-25,1196.35,1195.69,1199.93,1195.17,0.0006,0.7599999999999909
2022-01-26,1197.03,1196.35,1198.51,1194.29,0.0006,0.6800000000000637
2022-01-27,1203.77,1200.75,1205.79,1200.15,0.005600000000000001,6.740000000000009
2022-01-28,1209.56,1203.82,1213.86,1203.65,0.0048,5.789999999999964
2022-01-31,1204.63,1209.71,1212.92,1204.2,-0.0040999999999999995,-4.929999999999836
2022-02-01,1202.31,1204.75,1208.01,1201.61,-0.0019,-2.3200000000001637
2022-02-02,1199.46,1202.47,1204.41,1198.82,-0.0024,-2.849999999999909
2022-02-03,1199.47,1200.36,1207.19,1198.68,0.0,0.009999999999990905
2022-02-04,1198.25,1200.65,1202.05,1196.81,-0.001,-1.2200000000000273
2022-02-07,1196.87,1199.0,1201.09,1196.72,-0.0012,-1.3800000000001091
2022-02-08,1196.35,1196.92,1200.38,1196.21,-0.0004,-0.5199999999999818
2022-02-09,1194.05,1196.4,1197.47,1193.02,-0.0019,-2.2999999999999545
2022-02-10,1199.83,1194.17,1200.65,1193.42,0.0048,5.779999999999973
2022-02-11,1199.48,1200.1,1201.87,1193.23,-0.0003,-0.34999999999990905
2022-02-14,1197.32,1200.1,1200.17,1193.93,-0.0018,-2.160000000000082
2022-02-15,1196.76,1197.44,1200.59,1195.29,-0.0005,-0.5599999999999454
2022-02-16,1196.53,1196.86,1199.57,1195.22,-0.0002,-0.2300000000000182
2022-02-17,1198.63,1196.69,1200.06,1194.44,0.0018,2.1000000000001364
2022-02-18,1195.59,1198.76,1199.55,1192.95,-0.0025,-3.040000000000191
2022-02-21,1193.68,1198.3,1199.72,1189.73,-0.0016,-1.9099999999998545
2022-02-22,1191.9,1194.6,1196.6,1190.74,-0.0015,-1.7799999999999727
2022-02-23,1192.44,1193.03,1194.34,1189.64,0.0005,0.5399999999999636
2022-02-24,1206.05,1192.6,1211.47,1191.93,0.011399999999999999,13.6099999999999
2022-02-25,1197.57,1206.11,1206.9,1197.73,-0.006999999999999999,-8.480000000000018
2022-02-28,1200.12,1207.65,1208.97,1200.76,0.0021,2.5499999999999545
2022-03-01,1205.32,1201.18,1206.37,1197.68,0.0043,5.2000000000000455
2022-03-02,1203.16,1205.42,1208.99,1201.98,-0.0018,-2.1599999999998545
2022-03-03,1205.54,1203.26,1209.29,1202.18,0.002,2.3799999999998818
2022-03-04,1217.45,1206.93,1219.78,1206.35,0.009899999999999999,11.910000000000082
2022-03-07,1232.14,1221.65,1233.47,1220.05,0.0121,14.690000000000055
2022-03-08,1233.53,1232.26,1238.83,1227.97,0.0011,1.3899999999998727
2022-03-09,1223.13,1233.64,1235.94,1222.75,-0.0084,-10.399999999999864
2022-03-10,1228.83,1223.24,1231.74,1223.13,0.004699999999999999,5.699999999999818
2022-03-11,1237.08,1228.77,1237.91,1228.23,0.0067,8.25
2022-03-14,1240.64,1237.1,1242.82,1234.68,0.0029,3.560000000000173
2022-03-15,1240.62,1242.01,1247.35,1239.3,-0.0,-0.020000000000209184
2022-03-16,1225.35,1241.66,1244.06,1225.32,-0.0123,-15.269999999999982
2022-03-17,1209.89,1224.95,1227.7,1207.83,-0.0126,-15.459999999999809
